,project_id,requirement,label,source,model,zero_shot,few_shot,zero_shot_cot,raw_inst
0,1,'The system shall refresh the display every 60 seconds.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
1,1,'The application shall match the color of the schema set forth by Department of Homeland Security',nonsec,promise_exp,llama3,sec,sec,sec,sec
2,1,'If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',nonsec,promise_exp,llama3,nonsec,nonsec,,nonsec
3,1,'The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
4,1,'If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
5,1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',sec,promise_exp,llama3,sec,sec,sec,sec
6,1,'The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
7,1,'The product shall respond fast to keep up-to-date data in the display.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
8,1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
9,1,'The system shall display Events in a vertical table by time.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
10,1,'The system shall display the Events in a graph by time.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
11,1,'The system shall display Events or Activities.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
12,1,'The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
13,1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
14,1,'The table side of the display shall be split into 2 regions: sequential and temporal.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
15,1,'The top 1/4 of the table will hold events that are to occur sequentially.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
16,1,'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
17,1,'The system shall color code events according to their variance from current time.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
18,1,'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
19,1,'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
20,1,'The system shall allow modification of the display.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
21,1,'The system shall offer a display of all the Events in the exercise.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
22,1,'The system shall filter data by: Venues and Key Events.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
23,1,'The system shall allow a user to define the time segments',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
24,1,'The system shall display the local and exercise time in separate clocks',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
25,1,'The system shall offer the ability to pause and resume the refresh of data.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
26,1,'The system shall provide charts for the Activity or Event actual versus assumed time.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
27,1,'The system shall provide a history report of changes made to the Activity or Event data',nonsec,promise_exp,llama3,nonsec,sec,nonsec,nonsec
28,2,'The look and feel of the system shall conform to the user interface standards of the smart device.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
29,2,'The user interface shall have standard menus buttons for navigation',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
30,2,'The system shall have a professional appearance',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
31,2,'The product shall have a consistent color scheme and fonts.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
32,2,'The system shall be used by realtors with no training.',nonsec,promise_exp,llama3,nonsec,sec,nonsec,nonsec
33,2,'The system shall be intuitive and self explanatory.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
34,2,'The product shall be easy for a realtor to learn.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
35,2,'The product shall use symbols and words that are naturally understandable by the realtor community.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
36,2,'The product shall produce search results in an acceptable time',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
37,2,'The search results shall be returned no later 30 seconds  after the user has entered the search criteria',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
38,2,'The product shall generate a CMA report in an acceptable time.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
39,2,'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',nonsec,promise_exp,llama3,nonsec,nonsec,nonsec,nonsec
